NAME, MEAN, STDEV, MEDIAN, MODE, VOXELS
layer0_v1, 226.21065396333682, 28.371828042045273, 227, 255, 7287748
layer0_v2, 237.8814079340005, 24.674459281603202, 255, 255, 13738769
layer0_v3v, 223.01032238711505, 26.693752786212976, 222, 255, 3153631
layer0_v5, 220.75259591775531, 21.764967106775718, 220, 255, 213412
layer0_44, 251.9436589204807, 9.922586718437474, 255, 255, 13228962
layer0_45, 251.6164973455521, 12.302752339480284, 255, 255, 17916155
layer0_op5, 230.25337340569345, 31.72275325571931, 255, 255, 6380125
layer0_op6, 244.0287959591836, 20.977287913589855, 255, 255, 3811507
layer0_op7, 240.92947795715205, 15.681139781852123, 248, 255, 716627
layer1_v1, 214.92756688742227, 18.98295616721199, 215, 255, 58930175
layer1_v2, 215.65193712704507, 21.523958745604073, 214, 255, 45063255
layer1_v3v, 210.65412725725176, 19.610388289255987, 211, 255, 14962055
layer1_v5, 209.60110001227633, 16.40941908695679, 211, 215, 2305247
layer1_44, 219.20308679586753, 15.960847999032241, 218, 255, 31110836
layer1_45, 221.2681409782197, 17.07360834622359, 220, 255, 27678772
layer1_op5, 218.544312234178, 18.682857614374335, 219, 255, 12724680
layer1_op6, 218.47266514245453, 15.841595343056817, 217, 255, 9543291
layer1_op7, 222.04899266230368, 14.674387869719324, 222, 255, 4387208
layer2_v1, 194.20979778381545, 22.035441176562024, 192, 255, 76443634
layer2_v2, 191.68020366098898, 20.961851100803564, 189, 255, 57773460
layer2_v3v, 189.01474678288724, 18.50984858730652, 187, 183, 19276679
layer2_v5, 184.1877742596138, 15.715020646177695, 183, 180, 2995565
layer2_44, 192.68195344670877, 14.95965801510139, 191, 189, 35446946
layer2_45, 197.09216345335906, 14.858101034627403, 196, 193, 32086927
layer2_op5, 193.83586396832575, 18.97093020890913, 191, 255, 13292316
layer2_op6, 192.24698569589356, 14.857719093411617, 191, 188, 10243492
layer2_op7, 199.35344477189398, 13.454475046308072, 198, 197, 4792596
layer3_v1, 175.75642100503535, 15.993677470069041, 175, 176, 303310111
layer3_v2, 176.25524569858405, 16.416050346215968, 177, 178, 219507370
layer3_v3v, 175.32457278642167, 16.129505694895364, 176, 178, 69750592
layer3_v5, 175.32944416644798, 15.069034841894073, 177, 179, 10337861
layer3_44, 187.5808457336384, 11.934848890396571, 188, 191, 123529555
layer3_45, 188.19000285072636, 12.27539783573328, 189, 191, 111929368
layer3_op5, 186.2548048440271, 14.23703540436504, 187, 188, 44556233
layer3_op6, 188.40210418889296, 12.7373436853996, 189, 190, 32799907
layer3_op7, 197.4362804058841, 10.991660580123416, 198, 200, 18109406
layer4_v1, 166.91875363413124, 15.189157644498836, 167, 167, 108172346
layer4_v2, 162.60175968398423, 17.165654054515, 163, 166, 62134111
layer4_v3v, 159.96245546476024, 17.08642280877808, 161, 161, 19802296
layer4_v5, 160.348573280044, 15.757649063826413, 161, 163, 2762280
layer4_44, 181.38332773216828, 12.918590200911643, 182, 183, 31868370
layer4_45, 181.89211632915791, 12.80077500936249, 183, 184, 29297659
layer4_op5, 178.73562855762478, 13.854923611213582, 179, 180, 12723201
layer4_op6, 180.6490291253323, 13.625312816169872, 181, 182, 8262395
layer4_op7, 189.94273174666827, 13.001388980235664, 191, 194, 5127064
layer5_v1, 166.64004262213544, 15.47120950516253, 167, 166, 227313810
layer5_v2, 168.3052978236529, 17.209115897333508, 169, 173, 144496297
layer5_v3v, 166.91696274517759, 16.212854465174278, 168, 171, 46641908
layer5_v5, 166.90803349968309, 14.134605554474836, 168, 170, 6883289
layer5_44, 183.8794623242554, 12.149628818931411, 185, 187, 88566093
layer5_45, 184.11062159873094, 12.525603821250186, 185, 187, 81281794
layer5_op5, 180.9376128461643, 13.62003957968319, 182, 184, 34750295
layer5_op6, 182.72506452716604, 12.623410341419339, 183, 184, 22896558
layer5_op7, 193.11342625443703, 11.94066430388865, 194, 197, 16326467
layer6_v1, 181.10742590056978, 17.019011298401114, 181, 182, 209082883
layer6_v2, 183.48557095906324, 16.02320109298458, 184, 184, 141263928
layer6_v3v, 178.57523355189318, 15.105769687925246, 179, 181, 39965101
layer6_v5, 176.5179018353196, 14.396868707839479, 177, 177, 6553518
layer6_44, 188.01323785297947, 11.278128652040074, 189, 191, 73540853
layer6_45, 188.00696034720914, 12.565656673250622, 189, 191, 65465556
layer6_op5, 186.21413374052798, 12.664680939170589, 187, 189, 30376955
layer6_op6, 188.69269337835485, 11.256912290684465, 189, 189, 19764182
layer6_op7, 198.14268674909138, 10.411451886109765, 199, 201, 15751750
layer7_v1, 201.70777797471834, 14.313428018912212, 203, 204, 12073580
layer7_v2, 200.70166801372375, 12.6182821634786, 202, 202, 20267639
layer7_v3v, 194.26004509198734, 13.186824291455153, 195, 197, 3257785
layer7_v5, 189.66948600014226, 13.618731956098328, 190, 188, 674864
layer7_44, 195.49130704355866, 9.54610968562986, 196, 198, 18034946
layer7_45, 195.49067807062025, 10.106079585213337, 196, 197, 22175935
layer7_op5, 197.34018361169996, 9.955166176272268, 198, 200, 4697522
layer7_op6, 196.8085898651692, 9.67638720486811, 197, 197, 3117092
layer7_op7, 205.37613606647307, 8.887785763837947, 206, 207, 2933037
